agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v3,stress,baseline,Laptop,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.5136317604069089,1.0,1.513631760406909
v3,stress,baseline,Laptop,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.5775524426410947,1.0,1.5775524426410947
v3,stress,baseline,Laptop,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.5136317604069089,1.0,1.513631760406909
v3,stress,baseline,Laptop,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.5775524426410947,0.0,0.5775524426410947
v3,stress,baseline,Laptop,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.6403169963549771,1.0,1.640316996354977
v3,stress,baseline,Laptop,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.7497311172661669,1.0,1.7497311172661667
v3,stress,baseline,Laptop,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.7982820741079721,1.0,1.7982820741079721
v3,stress,baseline,Laptop,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.5775524426410947,0.3422179205081517,0.9197703631492464
v3,stress,baseline,Laptop,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.5715901030875117,0.6932670477187611,1.264857150806273
v3,stress,baseline,Laptop,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.5775524426410947,0.6844358410163034,1.2619882836573981
v3,stress,baseline,Laptop,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.8450562871935448,0.6916123350732224,1.5366686222667671
v3,stress,baseline,Laptop,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.5775524426410947,1.0,1.5775524426410947
v3,stress,baseline,Laptop,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.5136317604069089,1.0,1.513631760406909
v3,stress,baseline,Laptop,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.5775524426410947,1.0,1.5775524426410947
v3,stress,baseline,Laptop,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.5911036168101367,1.0,1.5911036168101367
v3,stress,baseline,NiceOrDie,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.0,1.0,1.0
v3,stress,baseline,NiceOrDie,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.0,1.0,1.0
v3,stress,baseline,NiceOrDie,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.1654761904761905,1.0,1.1654761904761906
v3,stress,baseline,NiceOrDie,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.1654761904761905,1.0,1.1654761904761906
