scenario,opponent,opponent_class,strategy,family,agent_first,runs,advantage,concealing,score
Grocery,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,first,1,0.46111111111111114,0.0,0.46111111111111114
Grocery,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,fast concession,time-based,second,1,0.638888888888889,1.0,1.6388888888888888
Grocery,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,first,1,0.588888888888889,1.0,1.588888888888889
Grocery,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,linear time concession,time-based,second,1,0.7500000000000001,1.0,1.75
Grocery,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,first,1,0.38888888888888895,1.0,1.3888888888888888
Grocery,ToughNegotiator,negmas.sao.ToughNegotiator,"hard line, slow give",time-based,second,1,0.47222222222222227,1.0,1.4722222222222223
Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,first,1,0.588888888888889,1.0,1.588888888888889
Grocery,MiCRONegotiator,negmas.sao.MiCRONegotiator,MiCRO (Genius-style),genius-style,second,1,0.7500000000000001,1.0,1.75
ISBTAcquisition,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,first,1,0.5032679738562091,0.0,0.5032679738562091
ISBTAcquisition,SimpleNegotiator,examples.simple.SimpleNegotiator,reverse-ufun + time concede,example,second,1,0.5121951219512194,0.5964173630080392,1.1086124849592585
ISBTAcquisition,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,first,1,0.784313725490196,0.5164709305604539,1.30078465605065
ISBTAcquisition,BOANeg,examples.boa.BOANeg,BOA: time offer + Smith + ACNext,example,second,1,0.5121951219512194,1.0,1.5121951219512195
ISBTAcquisition,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,first,1,0.784313725490196,0.5254369007155539,1.30975062620575
ISBTAcquisition,MAPNeg,examples.map.MAPNeg,"MAP: same stack, acceptance_first",example,second,1,0.5121951219512194,0.6155471607678578,1.127742282719077
ISBTAcquisition,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,slow concession (Boulware),time-based,first,1,0.6993464052287581,1.0,1.6993464052287581
