panel,agent,scenario,opponent,role,advantage,concealing,score
stress,v4.2,ISBTAcquisition,ToughNegotiator,first,0.3398692810457516,1.0,1.3398692810457515
stress,v4.2,ISBTAcquisition,ToughNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,ISBTAcquisition,TimeBasedNegotiator,first,0.5468409586056645,1.0,1.5468409586056646
stress,v4.2,ISBTAcquisition,TimeBasedNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,ISBTAcquisition,AspirationNegotiator,first,0.6405228758169935,1.0,1.6405228758169936
stress,v4.2,ISBTAcquisition,AspirationNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,ISBTAcquisition,HybridNegotiator,first,0.6100217864923747,1.0,1.610021786492375
stress,v4.2,ISBTAcquisition,HybridNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,ISBTAcquisition,RandomNegotiator,first,0.6318082788671023,1.0,1.6318082788671024
stress,v4.2,ISBTAcquisition,RandomNegotiator,second,0.5609756097560975,1.0,1.5609756097560974
stress,v4.2,ISBTAcquisition,NaiveTitForTatNegotiator,first,0.5468409586056645,0.5908972045950883,1.1377381632007528
stress,v4.2,ISBTAcquisition,NaiveTitForTatNegotiator,second,0.5121951219512194,0.5964173630080392,1.1086124849592585
stress,v4.2,ISBTAcquisition,SimpleTitForTatNegotiator,first,0.6732026143790849,0.5916085363569354,1.2648111507360205
stress,v4.2,ISBTAcquisition,SimpleTitForTatNegotiator,second,0.5121951219512194,0.5964173630080392,1.1086124849592585
stress,v4.2,ISBTAcquisition,FirstOfferOrientedTBNegotiator,first,0.5729847494553377,1.0,1.5729847494553377
stress,v4.2,ISBTAcquisition,FirstOfferOrientedTBNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,ISBTAcquisition,LastOfferOrientedTBNegotiator,first,0.46623093681917216,1.0,1.4662309368191722
stress,v4.2,ISBTAcquisition,LastOfferOrientedTBNegotiator,second,0.5121951219512194,1.0,1.5121951219512197
stress,v4.2,Laptop,BoulwareTBNegotiator,first,0.5775524426410947,1.0,1.577552442641095
stress,v4.2,Laptop,BoulwareTBNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,Laptop,ConcederTBNegotiator,first,0.5515223732715078,0.6666666666666666,1.2181890399381745
stress,v4.2,Laptop,ConcederTBNegotiator,second,0.6493483563162581,1.0,1.649348356316258
stress,v4.2,Laptop,LinearTBNegotiator,first,0.5473200910104512,1.0,1.547320091010451
stress,v4.2,Laptop,LinearTBNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,Laptop,ToughNegotiator,first,0.5775524426410947,1.0,1.577552442641095
stress,v4.2,Laptop,ToughNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,Laptop,TimeBasedNegotiator,first,0.5775524426410947,1.0,1.577552442641095
stress,v4.2,Laptop,TimeBasedNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,Laptop,AspirationNegotiator,first,0.5775524426410947,1.0,1.577552442641095
stress,v4.2,Laptop,AspirationNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,Laptop,HybridNegotiator,first,0.5775524426410947,1.0,1.577552442641095
stress,v4.2,Laptop,HybridNegotiator,second,0.6241066026691209,1.0,1.6241066026691209
stress,v4.2,Laptop,RandomNegotiator,first,0.4244847785084766,1.0,1.4244847785084767
stress,v4.2,Laptop,RandomNegotiator,second,0.8576771640171134,1.0,1.8576771640171135
stress,v4.2,Laptop,NaiveTitForTatNegotiator,first,0.5170877393798077,0.46453038234892746,0.9816181217287351
stress,v4.2,Laptop,NaiveTitForTatNegotiator,second,0.5522706555273108,0.6932670477187611,1.245537703246072
stress,v4.2,Laptop,SimpleTitForTatNegotiator,first,0.5775524426410947,0.6844358410163034,1.2619882836573981
stress,v4.2,Laptop,SimpleTitForTatNegotiator,second,0.649736488641106,0.6932670477187611,1.3430035363598674
stress,v4.2,Laptop,FirstOfferOrientedTBNegotiator,first,0.5775524426410947,0.6666666666666666,1.2442191093077615
stress,v4.2,Laptop,FirstOfferOrientedTBNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,Laptop,LastOfferOrientedTBNegotiator,first,0.5775524426410947,0.6666666666666666,1.2442191093077615
stress,v4.2,Laptop,LastOfferOrientedTBNegotiator,second,0.5136317604069089,1.0,1.513631760406909
stress,v4.2,NiceOrDie,BoulwareTBNegotiator,first,0.0,1.0,1.0
stress,v4.2,NiceOrDie,BoulwareTBNegotiator,second,0.0,1.0,1.0
stress,v4.2,NiceOrDie,ConcederTBNegotiator,first,0.1654761904761905,1.0,1.1654761904761906
stress,v4.2,NiceOrDie,ConcederTBNegotiator,second,0.1654761904761905,1.0,1.1654761904761906
