agent_mode,panel,group,scenario,opponent,opponent_class,family,agent_first,runs,advantage,concealing,score
v4.2,stress,baseline,Grocery,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.7500000000000001,1.0,1.75
v4.2,stress,baseline,Grocery,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.7055555555555557,1.0,1.7055555555555557
v4.2,stress,baseline,Grocery,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.7500000000000001,1.0,1.75
v4.2,stress,baseline,ISBTAcquisition,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.5686274509803922,1.0,1.5686274509803924
v4.2,stress,baseline,ISBTAcquisition,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.5228758169934641,1.0,1.522875816993464
v4.2,stress,baseline,ISBTAcquisition,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.548780487804878,1.0,1.548780487804878
v4.2,stress,baseline,ISBTAcquisition,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.5359477124183007,1.0,1.5359477124183007
v4.2,stress,baseline,ISBTAcquisition,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.33986928104575165,1.0,1.3398692810457518
v4.2,stress,baseline,ISBTAcquisition,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.5522875816993464,1.0,1.5522875816993464
v4.2,stress,baseline,ISBTAcquisition,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.5686274509803922,1.0,1.5686274509803924
v4.2,stress,baseline,ISBTAcquisition,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.7320261437908497,1.0,1.7320261437908497
v4.2,stress,baseline,ISBTAcquisition,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.6339869281045752,1.0,1.6339869281045751
v4.2,stress,baseline,ISBTAcquisition,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.6097560975609755,1.0,1.6097560975609755
v4.2,stress,baseline,ISBTAcquisition,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.5882352941176471,0.591839874285816,1.1800751684034632
v4.2,stress,baseline,ISBTAcquisition,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.5121951219512194,0.5964173630080392,1.1086124849592585
v4.2,stress,baseline,ISBTAcquisition,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.5882352941176471,0.59107503753555,1.1793103316531972
v4.2,stress,baseline,ISBTAcquisition,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.5121951219512194,0.5964173630080392,1.1086124849592585
v4.2,stress,baseline,ISBTAcquisition,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,first,2,0.5522875816993464,1.0,1.5522875816993464
v4.2,stress,baseline,ISBTAcquisition,FirstOfferOrientedTBNegotiator,negmas.sao.FirstOfferOrientedTBNegotiator,oriented,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,ISBTAcquisition,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,first,2,0.5686274509803922,1.0,1.5686274509803924
v4.2,stress,baseline,ISBTAcquisition,LastOfferOrientedTBNegotiator,negmas.sao.LastOfferOrientedTBNegotiator,oriented,second,2,0.5121951219512194,1.0,1.5121951219512195
v4.2,stress,baseline,Laptop,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,first,2,0.5775524426410947,1.0,1.5775524426410947
v4.2,stress,baseline,Laptop,BoulwareTBNegotiator,negmas.sao.BoulwareTBNegotiator,time-based,second,2,0.5136317604069089,1.0,1.513631760406909
v4.2,stress,baseline,Laptop,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,first,2,0.5322039151951294,0.5,1.0322039151951294
v4.2,stress,baseline,Laptop,ConcederTBNegotiator,negmas.sao.ConcederTBNegotiator,time-based,second,2,0.6787618253129548,1.0,1.6787618253129548
v4.2,stress,baseline,Laptop,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,first,2,0.5322039151951294,1.0,1.5322039151951294
v4.2,stress,baseline,Laptop,LinearTBNegotiator,negmas.sao.LinearTBNegotiator,time-based,second,2,0.5911036168101367,1.0,1.5911036168101367
v4.2,stress,baseline,Laptop,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,first,2,0.5775524426410947,1.0,1.5775524426410947
v4.2,stress,baseline,Laptop,ToughNegotiator,negmas.sao.ToughNegotiator,time-based,second,2,0.5136317604069089,1.0,1.513631760406909
v4.2,stress,baseline,Laptop,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,first,2,0.5775524426410947,1.0,1.5775524426410947
v4.2,stress,baseline,Laptop,TimeBasedNegotiator,negmas.sao.TimeBasedNegotiator,time-based,second,2,0.5136317604069089,1.0,1.513631760406909
v4.2,stress,baseline,Laptop,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,first,2,0.5775524426410947,0.5,1.0775524426410947
v4.2,stress,baseline,Laptop,AspirationNegotiator,negmas.sao.AspirationNegotiator,time-based,second,2,0.5136317604069089,1.0,1.513631760406909
v4.2,stress,baseline,Laptop,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,first,2,0.5322039151951294,1.0,1.5322039151951294
v4.2,stress,baseline,Laptop,HybridNegotiator,negmas.sao.HybridNegotiator,hybrid,second,2,0.5911036168101367,1.0,1.5911036168101367
v4.2,stress,baseline,Laptop,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,first,2,0.5322039151951294,1.0,1.5322039151951294
v4.2,stress,baseline,Laptop,RandomNegotiator,negmas.sao.RandomNegotiator,baseline,second,2,0.3177955878305971,1.0,1.3177955878305971
v4.2,stress,baseline,Laptop,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,first,2,0.6292043934786449,0.689779705113567,1.3189840985922119
v4.2,stress,baseline,Laptop,NaiveTitForTatNegotiator,negmas.sao.NaiveTitForTatNegotiator,behavioral,second,2,0.6793440238002268,0.6924396913959918,1.3717837151962187
v4.2,stress,baseline,Laptop,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,first,2,0.48685538774916404,0.6884363947778832,1.1752917825270472
v4.2,stress,baseline,Laptop,SimpleTitForTatNegotiator,negmas.sao.SimpleTitForTatNegotiator,behavioral,second,2,0.7177888527582047,0.6924396913959918,1.4102285441541964
